POS,PosScore,NegScore,SynsetTerms,correct_label
a,0.875,0.0,intellectual,1
a,0.75,0.0,sophisticated,1
a,0.75,0.0,inviting,1
a,0.75,0.0,gladsome,1
a,0.75,0.0,gentle,1
a,0.875,0.0,legendary,1
a,0.75,0.0,promising,1
a,0.75,0.0,loving,1
a,0.875,0.0,lucky,1
a,0.75,0.0,singable,1
a,0.75,0.0,merciful,1
a,0.75,0.125,moralistic,1
a,0.75,0.0,righteous,1
a,0.75,0.25,incorrupt,1
a,0.75,0.0,licit,1
a,0.75,0.0,principled,1
a,0.875,0.0,incumbent,1
a,0.875,0.0,nice,1
a,1.0,0.0,good,1
a,0.75,0.0,pleasant,1
a,0.75,0.0,unimpassioned,1
a,0.75,0.0,ideal,1
a,0.875,0.0,idyllic,1
a,0.875,0.0,admirable,1
a,0.875,0.0,charming,1
a,0.875,0.0,sweet,1
a,0.75,0.0,finished,1
a,0.875,0.0,constructive,1
a,0.75,0.0,precise,1
a,0.75,0.0,microscopic,0
a,0.75,0.0,privileged,1
a,0.75,0.0,proper,1
a,0.75,0.0,halal,1
a,0.75,0.0,kosher,1
a,0.75,0.125,disarming,1
a,0.75,0.125,white,0
a,0.75,0.0,ladylike,0
a,0.75,0.25,unprintable,1
a,0.875,0.0,reputable,1
a,0.875,0.0,diffident,1
a,0.875,0.0,answerable,1
a,0.75,0.125,emancipative,1
a,0.75,0.0,danceable,1
a,0.875,0.0,righteous,1
a,0.75,0.125,opposite,0
a,0.75,0.0,sane,1
a,1.0,0.0,sensational,1
a,0.75,0.25,antiseptic,1
a,0.75,0.0,shapely,1
a,0.75,0.0,well-proportioned,1
a,0.75,0.0,monumental,1
a,0.75,0.0,delicate,1
a,0.75,0.0,sound,1
a,0.875,0.125,straightarrow,1
a,0.75,0.0,upper,1
a,0.875,0.0,banner,1
a,0.75,0.0,gilt-edged,1
a,0.75,0.0,outstanding,1
a,0.75,0.0,premium,1
a,0.75,0.0,shining,1
a,0.875,0.0,spiffing,1
a,0.75,0.0,supreme,1
a,0.75,0.125,choice,1
a,0.75,0.0,serviceable,1
a,0.875,0.0,virtuous,1
a,0.75,0.0,well,1
a,0.875,0.0,worthy,1
a,0.75,0.0,sacred,1
a,0.75,0.0,constitutional,1
a,0.75,0.0,deliverable,1
a,0.75,0.0,ducal,1
n,0.75,0.0,masterstroke,1
n,0.75,0.0,pleasantry,1
n,0.75,0.0,indignity,1
n,0.875,0.0,props,1
n,0.75,0.0,titillation,1
n,0.75,0.0,beatification,1
n,0.75,0.0,rambouillet,1
n,0.75,0.0,classic,1
n,0.875,0.0,character,1
n,0.75,0.0,drama,1
n,0.75,0.0,chirpiness,1
n,0.75,0.25,vivacity,1
n,0.75,0.0,mettlesomeness,1
n,0.875,0.0,bluffness,1
n,0.875,0.0,picturesqueness,1
n,0.75,0.0,pleasingness,1
n,0.75,0.0,attractiveness,1
n,0.75,0.25,innateness,1
n,0.75,0.0,totality,1
n,0.75,0.25,looseness,1
n,0.875,0.0,wholesomeness,1
n,0.875,0.0,healthfulness,1
n,0.75,0.0,trueness,1
n,0.875,0.0,elegance,1
n,0.875,0.0,elegance,1
n,0.875,0.0,tastefulness,1
n,0.875,0.0,urbanity,1
n,0.75,0.125,righteousness,1
n,0.875,0.125,morality,1
n,0.75,0.125,virtue,1
n,0.75,0.0,conscientiousness,1
n,0.75,0.25,safeness,1
n,0.75,0.0,scrupulousness,1
n,0.875,0.125,integrity,1
n,0.75,0.0,probity,1
n,0.75,0.0,artfulness,1
n,0.875,0.0,dedication,1
n,0.875,0.0,decency,1
n,0.875,0.0,urbanity,1
n,0.875,0.0,crispness,1
n,0.75,0.25,extremeness,1
n,0.75,0.0,worth,1
n,0.75,0.0,reasonableness,1
n,0.75,0.0,affirmativeness,1
n,0.75,0.125,importance,1
n,0.875,0.125,account,1
n,0.75,0.125,meaningfulness,1
n,0.75,0.25,shrillness,1
n,0.75,0.0,eye,0
n,0.75,0.0,logic,1
n,0.875,0.0,judiciousness,1
n,0.75,0.0,ear,0
n,0.75,0.0,balletomania,1
n,0.75,0.0,mastering,1
n,0.75,0.0,principle,1
n,0.75,0.0,hedonism,1
n,0.75,0.0,courtesy,1
n,0.75,0.0,topper,1
n,0.875,0.0,divination,1
n,0.75,0.125,moralism,1
n,0.875,0.0,bonheur,1
n,0.75,0.0,beneficence,1
n,0.75,0.0,criollo,1
n,0.75,0.0,amoralist,1
n,0.75,0.0,brick,0
n,1.0,0.0,first-rater,1
n,0.75,0.0,out-and-outer,1
n,0.75,0.0,pleaser,1
n,0.75,0.0,possible,1
n,0.75,0.125,serendipity,1
n,0.75,0.0,antithesis,1
n,0.75,0.0,contrary,1
n,0.875,0.125,radiance,1
n,0.75,0.25,algidity,1
n,0.75,0.125,pathology,1
n,0.875,0.0,character,1
n,0.75,0.0,fettle,1
n,0.75,0.0,time,0
r,0.75,0.0,simply,1
r,0.75,0.0,well,1
r,0.75,0.0,well,1
r,0.75,0.0,well,1
r,0.875,0.125,admiringly,1
r,0.75,0.125,adoringly,1
r,0.875,0.0,better,1
r,0.75,0.0,downright,1
v,0.75,0.0,recuperate,1
v,0.75,0.0,redound,1
v,0.75,0.0,enervate,1
v,0.75,0.0,purify,1
v,0.75,0.0,delouse,1
v,0.75,0.0,think,1
v,0.75,0.0,receive,1
v,0.75,0.0,consider,1
v,0.875,0.0,dazzle,1
v,0.75,0.0,cheer,1
v,0.75,0.125,give,1
v,0.875,0.0,filigree,1
v,1.0,0.0,like,1
v,0.75,0.125,stultify,1
v,0.875,0.0,prefer,1
v,0.75,0.0,see,1
v,0.875,0.0,vest,1
v,0.875,0.0,agree,1
v,0.875,0.0,suit,1
v,0.75,0.0,belong,1
v,0.875,0.0,make,1
