POS,PosScore,NegScore,SynsetTerms,CorrectLabel
a,0.0,0.75,unargumentative,-1
a,0.0,0.75,noncontentious,-1
a,0.125,0.75,inconvenient,-1
a,0.0,0.75,awkward,-1
a,0.0,0.75,unconventional,-1
a,0.0,0.75,conformist,-1
a,0.0,0.75,unpersuasive,-1
a,0.0,0.75,raw,-1
a,0.0,0.75,untoasted,-1
a,0.3,0.7,putrid,-1
a,0.0,0.75,antiphlogistic,-1
a,0.0,0.75,erroneous,-1
a,0.125,0.75,fallacious,-1
a,0.25,0.75,wrongheaded,-1
a,0.0,0.75,uncorrected,-1
a,0.0,0.75,unremedied,-1
a,0.0,0.75,constipated,-1
a,0.0,0.75,overcredulous,-1
a,0.0,0.75,incredulous,-1
a,0.0,0.875,censorious,-1
a,0.0,0.75,uncritical,-1
a,0.0,0.75,noncurrent,-1
a,0.0,0.75,damaged,-1
a,0.0,0.875,knocked-out,-1
a,0.0,0.75,storm-beaten,-1
a,0.0,0.75,undatable,-1
a,0.0,0.75,indelicate,-1
a,0.0,0.75,undeclared,-1
a,0.0,0.75,shallow,-1
a,0.0,0.75,indefeasible,-1
a,0.0,0.75,recalcitrant,-1
a,0.0,0.75,nonresistant,-1
a,0.0,0.75,infrangible,-1
a,0.0,0.75,peremptory,-1
a,0.0,0.75,undemonstrative,-1
a,0.0,0.875,undeniable,-1
a,0.0,0.75,dependent,-1
a,0.0,0.75,helpless,-1
a,0.125,0.75,undescriptive,-1
a,0.125,0.75,arduous,-1
a,0.125,0.875,fractious,-1
a,0.0,0.875,thorny,-1
a,0.0,0.875,troublesome,-1
a,0.0,0.75,undiplomatic,-1
a,0.0,0.75,alienating,-1
a,0.0,0.75,indirect,-1
a,0.0,0.75,promiscuous,-1
a,0.125,0.75,unselective,-1
a,0.25,0.75,indistinct,-1
a,0.0,0.75,indiscrete,-1
a,0.0,0.75,untheatrical,-1
a,0.0,0.75,poisonous,-1
a,0.25,0.75,uneducated,-1
a,0.0,0.75,defunct,-1
a,0.0,0.75,sisyphean,-1
a,0.0,0.75,unemployable,-1
a,0.0,0.75,unburdened,-1
a,0.25,0.75,unexportable,-1
a,0.125,0.75,remittent,-1
a,0.0,0.75,nostalgic,-1
a,0.0,0.75,homesick,-1
a,0.0,0.75,unquestionable,-1
a,0.0,0.75,contemptible,-1
a,0.0,0.75,unethical,-1
a,0.0,0.75,patchy,-1
a,0.0,0.875,unparallel,-1
a,0.25,0.75,unexchangeable,-1
a,0.0,0.75,nonexistent,-1
a,0.0,0.75,nonextant,-1
a,0.25,0.75,unexpendable,-1
a,0.0,0.75,fingerless,-1
a,0.0,0.875,inextinguishable,-1
a,0.125,0.75,untrue,-1
a,0.0,0.75,unfastidious,-1
a,0.125,0.75,blubbery,-1
a,0.0,0.75,infelicitous,-1
a,0.0,1.0,unfortunate,-1
a,0.0,0.875,barren,-1
a,0.0,0.75,unhewn,-1
a,0.25,0.75,unfit,-1
a,0.0,0.75,unsuitable,-1
a,0.0,0.75,adventive,-1
a,0.0,0.75,unforgiving,-1
a,0.0,0.875,unfortunate,-1
a,0.0,1.0,abject,-1
a,0.0,0.75,niffy,-1
a,0.3,0.7,putrid-smelling,-1
a,0.0,0.75,unfree,-1
a,0.0,0.75,addled,-1
a,0.0,0.875,day-old,-1
a,0.0,0.75,unfriendly,-1
a,0.0,0.875,unfriendly,-1
a,0.0,0.75,unfruitful,-1
a,0.0,0.75,sperm-filled,-1
a,0.0,0.75,nonfunctional,-1
a,0.0,0.75,nonproprietary,-1
a,0.0,0.875,base,-1
a,0.0,0.75,pseudo,-1
a,0.125,0.875,synthetic,-1
a,0.0,0.75,no-go,-1
a,0.125,0.75,hopeless,-1
a,0.0,0.875,horrid,-1
a,0.0,0.875,ill,-1
a,0.222,0.778,mediocre,-1
a,0.0,0.75,naughty,-1
a,0.125,0.875,negative,-1
a,0.0,0.875,poor,-1
a,0.0,0.875,swingeing,-1
a,0.0,0.875,uncool,-1
a,0.222,0.778,unsuitable,-1
a,0.0,0.875,evil,-1
a,0.0,0.75,bad,-1
a,0.0,0.75,evil-minded,-1
a,0.0,0.875,ill-natured,-1
a,0.0,0.875,churlish,-1
a,0.125,0.875,disagreeable,-1
a,0.25,0.75,churlish,-1
a,0.0,0.75,fulminant,-1
a,0.0,0.75,incorrect,-1
a,0.25,0.75,appreciative,-1
a,0.0,0.75,unappreciative,-1
a,0.0,0.75,unhappy,-1
a,0.0,0.875,abusive,-1
a,0.0,0.75,ill,-1
a,0.125,0.875,unhealthy,-1
a,0.25,0.75,inoperable,-1
a,0.0,0.75,unhealthy,-1
a,0.0,0.875,angry,-1
a,0.0,0.75,bloodshot,-1
a,0.0,0.75,caseous,-1
a,0.0,0.875,inflamed,-1
a,0.0,0.75,inflammatory,-1
a,0.0,0.75,sore-eyed,-1
a,0.0,0.875,varicose,-1
a,0.0,0.75,light-duty,-1
a,0.0,0.875,harsh,-1
a,0.0,0.75,low-level,-1
a,0.0,0.75,nonimitative,-1
a,0.0,0.75,yellow,-1
a,0.0,0.75,hopeless,-1
a,0.0,0.75,insoluble,-1
a,0.0,0.75,desolate,-1
a,0.0,0.75,torrid,-1
a,0.0,0.75,cold,-1
a,0.0,0.75,cold,-1
a,0.0,0.75,inhumane,-1
a,0.0,0.75,disinclined,-1
a,0.0,0.75,afraid,-1
a,0.0,0.75,stygian,-1
a,0.125,0.75,punishable,-1
a,0.0,0.75,undesigned,-1
a,0.0,0.75,unsmoothed,-1
a,0.0,0.75,anisotropic,-1
a,0.125,0.75,sad,-1
a,0.0,0.75,bittersweet,-1
a,0.0,0.75,sorrowful,-1
a,0.0,0.875,bitter,-1
a,0.0,0.875,lugubrious,-1
a,0.125,0.75,joyless,-1
a,0.0,0.75,unsmiling,-1
a,0.125,0.75,wrongful,-1
a,0.0,0.75,watertight,-1
a,0.0,0.75,unlisted,-1
a,0.0,0.75,unextended,-1
a,0.0,0.75,lost,-1
a,0.0,0.75,stray,-1
a,0.0,0.75,straying,-1
a,0.0,0.75,pale,-1
a,0.0,0.75,apotropaic,-1
a,0.0,0.75,scarred,-1
a,0.0,0.75,unbranded,-1
a,0.25,0.75,unfeminine,-1
a,0.0,0.75,unconcerned,-1
a,0.0,0.75,unsoldierly,-1
a,0.0,0.75,immobile,-1
a,0.0,0.75,unmodified,-1
a,0.0,0.75,unadapted,-1
a,0.0,0.75,univalent,-1
a,0.125,0.75,immoral,-1
a,0.0,0.75,factitious,-1
a,0.0,0.75,supernatural,-1
a,0.0,0.875,grotty,-1
a,0.0,0.75,subnormal,-1
a,0.0,0.875,paranormal,-1
a,0.0,0.75,innocuous,-1
a,0.0,0.75,unoccupied,-1
a,0.0,0.75,offensive,-1
a,0.0,0.875,creepy,-1
a,0.0,1.0,scrimy,-1
a,0.0,0.875,verminous,-1
a,0.222,0.778,odoriferous,-1
a,0.0,0.75,unofficial,-1
a,0.0,0.75,unestablished,-1
a,0.0,0.75,off-street,-1
a,0.0,0.75,off-line,-1
a,0.0,0.75,off,-1
a,0.0,0.75,inconvenient,-1
a,0.0,0.75,unopposed,-1
a,0.0,0.75,unmethodical,-1
a,0.0,0.75,artificial,-1
a,0.0,0.75,stunning,-1
a,0.0,0.875,underivative,-1
a,0.0,0.75,unoriginal,-1
a,0.0,0.75,slavish,-1
a,0.125,0.75,painful,-1
a,0.0,0.75,traumatic,-1
a,0.0,0.75,painless,-1
a,0.0,0.875,unpainted,-1
a,0.0,0.75,unoiled,-1
a,0.0,0.75,unpaintable,-1
a,0.125,0.75,unpalatable,-1
a,0.0,0.875,unforbearing,-1
a,0.0,0.75,loose,-1
a,0.0,0.75,unpaved,-1
a,0.0,0.75,unpeaceful,-1
a,0.0,0.875,unpeaceable,-1
a,0.0,0.75,blind,-1
a,0.125,0.75,imperfect,-1
a,0.0,0.75,inadmissible,-1
a,0.125,0.75,unpermissive,-1
a,0.0,0.75,perplexed,-1
a,0.0,0.75,unperplexed,-1
a,0.0,0.75,impenetrable,-1
a,0.0,0.75,rot-resistant,-1
a,0.0,0.75,nonpsychoactive,-1
a,0.125,0.875,harsh,-1
a,0.0,0.875,ungrateful,-1
a,0.0,0.75,unhappy,-1
a,0.125,0.75,displeased,-1
a,0.0,0.75,off-putting,-1
a,0.0,0.75,raw,-1
a,0.0,0.875,imponderable,-1
a,0.0,0.875,negative,-1
a,0.125,0.75,neutral,-1
a,0.0,0.75,impossible,-1
a,0.0,0.875,out,-1
a,0.0,0.75,unfunctional,-1
a,0.0,0.875,cretinous,-1
a,0.0,0.75,delayed,-1
a,0.0,0.75,secondary,-1
a,0.0,0.75,nonpublic,-1
a,0.0,0.75,lay,-1
a,0.125,0.75,lean,-1
a,0.0,0.75,unremunerative,-1
a,0.0,0.75,out-of-the-way,-1
a,0.0,0.75,unimpeachable,-1
a,0.0,0.75,unquiet,-1
a,0.0,0.75,flat-footed,-1
a,0.0,0.75,unrealistic,-1
a,0.0,0.75,unprocessed,-1
a,0.0,0.75,untreated,-1
a,0.0,0.75,raw,-1
a,0.0,0.875,untreated,-1
a,0.0,0.75,assimilative,-1
a,0.0,0.75,hostile,-1
a,0.125,0.75,inconsistent,-1
a,0.0,0.75,unresponsive,-1
a,0.0,0.75,unexpansive,-1
a,0.0,0.75,moneyless,-1
a,0.0,0.75,insolvent,-1
a,0.125,0.75,wrong,-1
a,0.0,0.75,out,-1
a,0.0,0.75,manic-depressive,-1
a,0.0,0.75,paranoid,-1
a,0.0,0.75,psychotic,-1
a,0.25,0.75,sardonic,-1
a,0.125,0.75,saturnine,-1
a,0.0,0.75,unacceptable,-1
a,0.0,0.75,unconscientious,-1
a,0.0,0.75,fail-safe,-1
a,0.25,0.75,insidious,-1
a,0.0,0.75,junior,-1
a,0.0,0.75,insensitive,-1
a,0.0,0.75,frivolous,-1
a,0.0,0.875,broken-down,-1
a,0.0,0.75,inoperable,-1
a,0.0,0.75,nonresident,-1
a,0.0,0.75,nonnomadic,-1
a,0.125,0.875,lecherous,-1
a,0.0,0.75,unformed,-1
a,0.125,0.75,FALSE,-1
a,0.125,0.875,feigned,-1
a,0.0,0.75,unsized,-1
a,0.0,0.75,unsorted,-1
a,0.0,0.75,unshuttered,-1
a,0.0,0.75,unsociable,-1
a,0.0,0.75,ungregarious,-1
a,0.0,0.75,unsold,-1
a,0.0,0.75,unsound,-1
a,0.0,0.875,unsound,-1
a,0.125,0.75,nonstandard,-1
a,0.125,0.875,nonstandard,-1
a,0.0,0.75,nonnormative,-1
a,0.0,0.75,nonstandard,-1
a,0.0,0.75,unstressed,-1
a,0.25,0.75,puny,-1
a,0.0,0.875,insubordinate,-1
a,0.125,0.875,indifferent,-1
a,0.0,0.875,inferior,-1
a,0.222,0.778,low-grade,-1
a,0.0,0.75,second-class,-1
a,0.0,0.75,unsupported,-1
a,0.0,0.75,unresponsive,-1
a,0.0,0.75,unimpressionable,-1
a,0.0,0.75,soured,-1
a,0.125,0.75,unsuspected,-1
a,0.0,0.75,unswept,-1
a,0.0,0.875,unsympathetic,-1
a,0.125,0.75,temperate,-1
a,0.0,0.75,unkempt,-1
a,0.125,0.75,ungroomed,-1
a,0.125,0.75,intolerant,-1
a,0.0,0.75,intestate,-1
a,0.0,0.75,tough,-1
a,0.0,0.75,intractable,-1
a,0.0,0.75,unmalleable,-1
a,0.0,0.875,troubled,-1
a,0.0,0.75,fraught,-1
a,0.0,0.75,FALSE,-1
a,0.0,0.75,mendacious,-1
a,0.0,0.75,untrue,-1
a,0.0,0.875,undivided,-1
a,0.0,0.75,dystopian,-1
a,0.0,0.75,invalid,-1
a,0.0,0.75,FALSE,-1
a,0.3,0.7,manky,-1
a,0.0,0.875,occult,-1
a,0.0,0.75,unwilling,-1
a,0.0,0.75,indefensible,-1
a,0.0,0.75,unwelcome,-1
a,0.0,0.75,consumptive,-1
a,0.0,0.75,dyspeptic,-1
a,0.0,0.75,palsied,-1
a,0.0,0.875,scrofulous,-1
a,0.0,0.875,upset,-1
a,0.125,0.75,unwholesome,-1
a,0.0,0.75,unwilling,-1
a,0.0,0.75,battered,-1
a,0.0,0.75,benign,-1
a,0.0,0.75,immunodeficient,-1
a,0.0,0.75,anasarcous,-1
a,0.0,0.75,immunocompromised,-1
a,0.125,0.75,aversive,-1
a,0.0,0.75,nonenzymatic,-1
a,0.0,0.75,tetanic,-1
a,0.0,0.75,tetanic,-1
a,0.0,0.75,unposed,-1
n,0.0,0.75,conquest,-1
n,0.0,0.75,hyperemesis,-1
n,0.0,0.875,worst,-1
n,0.0,0.75,bronchospasm,-1
n,0.0,0.75,palliation,-1
n,0.0,0.75,burn,-1
n,0.0,0.875,overexertion,-1
n,0.0,1.0,abduction,-1
n,0.0,0.75,scatophagy,-1
n,0.0,0.75,underproduction,-1
n,0.0,0.75,armageddon,-1
n,0.0,0.75,misdeal,-1
n,0.0,0.75,entrapment,-1
n,0.0,0.75,rotavirus,-1
n,0.0,0.75,rockweed,-1
n,0.125,0.75,kitsch,-1
n,0.0,0.875,lenitive,-1
n,0.0,0.75,stinker,-1
n,0.0,0.875,disagreeableness,-1
n,0.125,0.875,levity,-1
n,0.125,0.75,unapproachability,-1
n,0.0,0.875,unfriendliness,-1
n,0.25,0.75,uncongeniality,-1
n,0.0,0.875,unneighborliness,-1
n,0.0,0.75,ugliness,-1
n,0.125,0.75,unpleasingness,-1
n,0.125,0.75,incompatibility,-1
n,0.125,0.75,inconvenience,-1
n,0.125,0.75,shiftiness,-1
n,0.0,0.75,granite,-1
n,0.125,0.875,disagreeableness,-1
n,0.125,0.75,nastiness,-1
n,0.0,0.75,beastliness,-1
n,0.0,0.875,unnaturalness,-1
n,0.125,0.75,inadmissibility,-1
n,0.125,0.75,usualness,-1
n,0.0,0.75,nonconformity,-1
n,0.125,0.75,inaccuracy,-1
n,0.0,0.875,illegitimacy,-1
n,0.0,0.75,illicitness,-1
n,0.125,0.75,elusiveness,-1
n,0.25,0.75,immorality,-1
n,0.125,0.75,wrongness,-1
n,0.125,0.75,dangerousness,-1
n,0.25,0.75,incorruptibility,-1
n,0.125,0.75,dishonesty,-1
n,0.0,0.75,lightheadedness,-1
n,0.125,0.75,indelicacy,-1
n,0.125,0.75,indecency,-1
n,0.0,0.75,staleness,-1
n,0.0,0.875,hardness,-1
n,0.0,0.75,dissonance,-1
n,0.0,0.875,vulnerability,-1
n,0.125,0.75,tardiness,-1
n,0.0,0.75,evil,-1
n,0.0,0.75,disadvantage,-1
n,0.0,0.875,penalty,-1
n,0.125,0.75,inessentiality,-1
n,0.25,0.75,defensibility,-1
n,0.0,0.75,resistance,-1
n,0.125,0.75,snootiness,-1
n,0.0,0.75,cholecystokinin,-1
n,0.125,0.75,stupidity,-1
n,0.0,0.75,feeblemindedness,-1
n,0.0,0.75,insensibility,-1
n,0.125,0.75,perplexity,-1
n,0.0,0.75,hydra,-1
n,0.0,0.75,pisser,-1
n,0.0,0.75,pruritus,-1
n,0.0,0.875,pill,-1
n,0.0,0.75,kink,-1
n,0.0,0.75,casuistry,-1
n,0.0,0.75,reprobation,-1
n,0.125,0.75,unfairness,-1
n,0.0,0.75,stricture,-1
n,0.0,0.75,reproach,-1
n,0.0,0.875,canard,-1
n,0.0,0.75,threat,-1
n,0.0,0.875,excoriation,-1
n,0.0,1.0,worst,-1
n,0.0,0.75,accident,-1
n,0.0,0.75,onslaught,-1
n,0.0,0.75,knock,-1
n,0.0,0.75,resolution,-1
n,0.0,0.75,fire,-1
n,0.0,0.75,wistfulness,-1
n,0.0,0.875,weakness,-1
n,0.0,0.75,mysophilia,-1
n,0.125,0.75,creepy-crawlies,-1
n,0.0,0.75,unconcern,-1
n,0.0,0.75,shame,-1
n,0.125,0.75,conscience,-1
n,0.125,0.875,levity,-1
n,0.25,0.75,sensibility,-1
n,0.125,0.75,unrest,-1
n,0.0,0.75,hysteria,-1
n,0.125,0.75,anxiety,-1
n,0.0,0.875,dolefulness,-1
n,0.125,0.75,melancholy,-1
n,0.125,0.75,heavyheartedness,-1
n,0.125,0.75,misery,-1
n,0.0,0.75,helplessness,-1
n,0.125,0.75,self-pity,-1
n,0.0,0.75,dysphoria,-1
n,0.125,0.875,moodiness,-1
n,0.0,0.875,plonk,-1
n,0.0,0.75,gridlock,-1
n,0.0,0.75,ghetto,-1
n,0.0,0.75,aphasic,-1
n,0.0,0.75,asthmatic,-1
n,0.0,0.75,casualty,-1
n,0.0,0.75,choker,-1
n,0.0,0.75,dastard,-1
n,0.0,0.875,hobbledehoy,-1
n,0.0,0.75,inferior,-1
n,0.0,0.75,jerry-builder,-1
n,0.0,0.75,underdog,-1
n,0.0,1.0,motormouth,-1
n,0.0,0.875,patzer,-1
n,0.0,0.75,seducer,-1
n,0.0,0.75,third-rater,-1
n,0.0,0.75,torturer,-1
n,0.0,0.75,yenta,-1
n,0.0,0.75,gall,-1
n,0.0,0.75,accumulation,-1
n,0.0,0.875,earthquake,-1
n,0.0,0.75,insomnia,-1
n,0.0,0.75,anoxia,-1
n,0.125,0.75,dysphagia,-1
n,0.0,0.875,dysuria,-1
n,0.0,0.75,dystrophy,-1
n,0.0,0.875,invalidism,-1
n,0.0,0.75,amyloidosis,-1
n,0.0,0.75,neurasthenia,-1
n,0.0,0.75,gingivitis,-1
n,0.0,0.75,insufficiency,-1
n,0.0,0.75,glomerulonephritis,-1
n,0.0,0.75,hypothyroidism,-1
n,0.0,0.75,diphtheria,-1
n,0.0,0.75,pneumonia,-1
n,0.0,0.75,abetalipoproteinemia,-1
n,0.0,0.75,hypobetalipoproteinemia,-1
n,0.0,0.75,lysinemia,-1
n,0.0,0.75,thrombasthenia,-1
n,0.125,0.75,tyrosinemia,-1
n,0.0,0.75,angina,-1
n,0.0,0.875,blain,-1
n,0.0,0.75,cystitis,-1
n,0.0,0.75,malnutrition,-1
n,0.0,0.75,kwashiorkor,-1
n,0.125,0.75,myopathy,-1
n,0.0,0.75,erythema,-1
n,0.0,0.75,livedo,-1
n,0.0,0.75,granuloma,-1
n,0.0,0.75,arteritis,-1
n,0.0,0.875,blepharitis,-1
n,0.0,0.75,sprain,-1
n,0.0,0.875,bubo,-1
n,0.0,0.875,throe,-1
n,0.0,0.75,dysmenorrhea,-1
n,0.125,0.75,odynophagia,-1
n,0.0,0.75,ulalgia,-1
n,0.0,0.75,cholangitis,-1
n,0.0,0.75,cholecystitis,-1
n,0.0,0.875,diverticulitis,-1
n,0.0,0.75,endarteritis,-1
n,0.0,0.75,epididymitis,-1
n,0.0,0.75,gastritis,-1
n,0.0,0.75,keratitis,-1
n,0.0,0.75,oophoritis,-1
n,0.0,0.875,orchitis,-1
n,0.0,0.75,pancreatitis,-1
n,0.0,0.875,prostatitis,-1
n,0.0,0.75,spondylitis,-1
n,0.0,0.75,ulitis,-1
n,0.0,0.75,ureteritis,-1
n,0.0,0.75,vesiculitis,-1
n,0.0,0.75,automysophobia,-1
n,0.0,0.75,encopresis,-1
n,0.125,0.75,melancholia,-1
n,0.0,0.75,paranoia,-1
n,0.0,0.75,bitch,-1
n,0.0,0.75,wreck,-1
n,0.0,0.875,throe,-1
n,0.125,0.75,cleanness,-1
n,0.125,0.75,porphyria,-1
n,0.0,0.75,ergotism,-1
n,0.0,0.75,resistance,-1
n,0.0,0.75,danger,-1
n,0.125,0.75,astasia,-1
n,0.0,0.75,sequela,-1
n,0.0,0.75,analgesia,-1
n,0.0,0.75,urethritis,-1
n,0.0,0.75,oligospermia,-1
n,0.0,0.75,tenesmus,-1
n,0.0,0.75,gum-lac,-1
r,0.0,0.75,negatively,-1
r,0.125,0.75,amiss,-1
r,0.0,0.75,badly,-1
r,0.125,0.75,badly,-1
r,0.0,0.875,worst,-1
r,0.0,0.75,indirectly,-1
r,0.0,0.875,hard,-1
v,0.0,0.75,scowl,-1
v,0.25,0.75,abort,-1
v,0.125,0.75,abort,-1
v,0.0,0.75,inflame,-1
v,0.0,0.875,inflame,-1
v,0.0,0.75,have,-1
v,0.0,0.75,obstipate,-1
v,0.0,0.75,suffer,-1
v,0.0,0.875,ail,-1
v,0.0,0.75,frost,-1
v,0.0,0.75,damage,-1
v,0.0,0.75,smut,-1
v,0.25,0.75,kill,-1
v,0.0,0.75,bloat,-1
v,0.0,0.75,putrefy,-1
v,0.0,0.875,curdle,-1
v,0.0,0.875,foul,-1
v,0.0,0.75,cleanse,-1
v,0.0,0.75,damage,-1
v,0.0,0.875,disapprove,-1
v,0.0,0.875,deny,-1
v,0.0,0.875,repudiate,-1
v,0.0,0.875,impugn,-1
v,0.25,0.75,whoop,-1
v,0.0,0.75,speculate,-1
v,0.0,0.875,out-herod,-1
v,0.0,0.75,invade,-1
v,0.125,0.75,lacerate,-1
v,0.0,0.75,suffer,-1
v,0.0,0.75,enrage,-1
v,0.0,0.75,mourn,-1
v,0.0,0.75,tribulate,-1
v,0.0,0.75,besiege,-1
v,0.0,0.875,abreact,-1
v,0.0,0.875,burn,-1
v,0.0,0.875,smell,-1
v,0.0,1.0,disrespect,-1
v,0.0,0.75,castigate,-1
v,0.0,0.75,wrong,-1
v,0.0,0.875,humbug,-1
v,0.0,0.75,blindside,-1
v,0.25,0.75,stink,-1
